,date,hscei_w,hsi_w,hscei_g,hsi_g,allocation,selection,interaction
1,2019_06_03,100.0,99.99,3.8304985453223157,5.713974560223242,0.34502794969694417,-1.6380537399725386,0.04302390885251618
2,2019_06_04,99.99000000000001,100.02999999999999,-8.018211361173663,-6.771118270390594,-0.16951523255189221,-1.6640242267205834,0.07822710815201736
3,2019_06_05,99.99,99.99,2.940186332361598,5.257517673454037,0.053445624744909714,-2.6257768856481984,0.008953615989454232
4,2019_06_06,100.04000000000002,100.02000000000001,-2.449763758671732,0.2991000086086625,-0.054984551731558744,-3.04633985635019,0.07089114551396261
5,2019_06_10,99.99999999999999,99.97,12.845252184584366,27.67405413764038,0.451920817120784,-15.190941419810295,0.12157648969473546
6,2019_06_11,99.98,100.02,14.11397854964847,5.867703226347659,0.1326301952588698,8.708828260572341,-0.29114271145157683
7,2019_06_12,99.99,99.99000000000001,-9.932941307367129,-21.058897522535364,-0.4388551839670226,11.76216339505889,-0.14025136812205705
8,2019_06_13,99.98000000000002,100.03,-4.01944224884123,0.7243447539115626,-0.001001116858647716,-4.914486093001319,0.06288379706020682
9,2019_06_14,100.03000000000002,100.03000000000002,-2.0779360551358623,-6.752842243768382,-0.22952540976497443,4.882355233318878,-0.043234777178394454
10,2019_06_17,99.99,96.52999999999999,-1.8449502423637942,1.3366389579103406,-0.44323194858714765,-3.9392193821693318,0.7251222143326792
11,2019_06_18,100.01,96.49,6.298148155230397,12.354094478665623,-1.3555366777697302,-6.49449651538447,0.6627972994924498
12,2019_06_19,100.00000000000003,96.56,20.772885721178508,30.632584868180647,-2.902133218133347,-9.534880450644122,0.24808597771632832
13,2019_06_20,100.01999999999998,96.59,7.8420100836905355,10.436718293206084,-0.959110806057454,-2.479372353150634,0.40495167142132743
14,2019_06_21,99.98,96.59,0.8817676774281553,-2.744037435211281,-0.5391708264976441,3.454490051109805,1.1233490453578472
15,2019_06_24,99.99000000000001,96.6,5.393769548454356,-0.3662411171950825,0.16811915030882627,6.150493250798936,-0.35746848268050013
16,2019_06_25,100.00999999999999,96.58,-11.680836555519004,-9.831320187895797,1.223566978389,-1.9413642617230666,-1.2212268563869222
17,2019_06_26,100.0,96.59,1.9531218265847798,2.470509251860877,-0.6331305185830272,-0.4472474648965476,0.457695697700514
18,2019_06_27,99.99,96.56,9.640932797512779,15.66303565230631,-1.3785949183350146,-6.319531653393715,0.3150530930358688
19,2019_06_28,99.98,96.61,-4.191498915588718,-4.207960536747026,0.00038642276164085887,0.07670560105015369,0.4166556611428876
20,2019_07_02,100.01,96.63000000000001,13.26593155410222,24.656964330363632,-1.2049418494051114,-10.693097869331051,-1.5563614681203815
21,2019_07_03,100.00999999999999,96.6,-3.904241232057688,-3.8556283426115114,0.46920515043804156,0.10417469749447333,-0.7517925063910527
22,2019_07_04,99.97999999999998,96.57999999999998,2.5794825182498546,-2.8293569151117994,0.5460763596546878,5.847807912926063,-0.606088626236378
23,2019_07_05,99.99,96.57000000000002,-2.0742214236286918,-1.9133043211996446,0.25733879592016884,-0.0673910398563254,-0.2879198733697577
24,2019_07_08,99.96999999999998,96.58,-13.210088274009378,-13.987106141427457,1.1263797539372764,0.07378873442208331,0.5058180834369732
25,2019_07_09,100.03999999999999,96.61000000000001,-8.732713042348681,-6.559271806685324,0.6951062647240651,-2.263950934796311,9.996249552172813e-05
26,2019_07_10,100.01,96.63,5.729698123054751,7.231154128007867,-0.24276594944206023,-0.7296015495028085,-0.8284825216638085
27,2019_07_11,100.01,96.59,6.849082693439679,9.268619118590724,-0.7606752672991773,-2.610546967779999,0.07743771223585463
28,2019_07_12,100.02999999999999,96.62,-3.543956472116369,-0.09304383934451488,-0.26695967487747957,-3.655238123722716,0.3280877482398429
29,2019_07_15,100.01999999999998,96.66,4.170913078748858,4.402379685868882,-0.396717218894556,0.06549208975864003,0.07404166930137299
